title,key,style,tempo,checked,audio_produced,chords,composers
Deluge,e-,,,,,"['Ebm7', 'E^7', 'E^7', 'E^7', 'E^7', 'E^7', 'E^7', 'Ebm7', 'A7', 'Ab7', 'F#m7', 'B7', 'Ebm7', 'A7', 'Ab7', 'F#m7', 'B7', 'Ebm7', 'E^7', 'E^7']","Shorter, Wayne"
Feel Like Makin' Love,E-,,,,,"['Fm7', 'Bbsus', 'Eb^7', 'Db7', 'C7', 'Fm7', 'Bbsus', 'Eb^7', 'A7', 'Ab^7', 'Gm7', 'Fm7', 'Cm7', 'Ab^7', 'Gm7', 'Db7', 'Cm7', 'Eb7', 'E7', 'F7']","McDaniels, Eugene"
Freight Train,A-,,,,,"['Ab^7', 'G%7', 'C7', 'Fm7', 'Em7', 'Ebm7', 'Ab7', 'Db^7', 'Dbm7', 'Gb7', 'Cm7', 'F7', 'Bm7', 'E7', 'Bbm7', 'Eb7', 'Cm7', 'F7', 'Bbm7', 'Eb7']","Flanagan, Tommy"
Got A Match?,d,,,,,"['Dm7', 'A7', 'Dm7', 'D7', 'Gm7', 'D7', 'Gm7', 'Gm7', 'Em7', 'A7', 'Fm7', 'Bb7', 'Eb^7', 'Em7', 'A7', 'Dm7', 'E%7', 'A7', 'Dm7', 'A7']","Corea, Chick"
Half Nelson,C,,,,,"['C^7', 'C^7', 'Fm7', 'Bb7', 'C^7', 'C^7', 'Bm7', 'E7', 'Bbm7', 'Eb7', 'Ab^7', 'Ab^7', 'Am7', 'D7', 'Dm7', 'G7', 'C^7', 'Eb^7', 'Ab^7', 'Db^7']","Davis, Miles"
Leaving,B-,,,,,"['Eb^7', 'D7', 'Gm7', 'Gm7', 'Gb^7', 'F7', 'D7', 'Gm7', 'Gm7', 'Cm7', 'Absus', 'Bb^', 'F^', 'Ab7', 'G7', 'Cm^7', 'Gb^7', 'B^7', 'Bb^', 'D7']","Beirach, Richie"
Ligia,B,,,,,"['C#m7', 'F#7', 'D#m7', 'Do7', 'C#%7', 'F#sus', 'F#7', 'A#m7', 'D#7', 'E^7', 'Fo7', 'B^7', 'G#m7', 'Fm7', 'Bb7', 'D#^7', 'G#7', 'C#m7', 'Csus', 'Csus']","Jobim, Antonio Carlos"
Mc Jolt,e-,,,,,"['Em7', 'Em7', 'Ebm7', 'Ebm7', 'B^7', 'Bbm7', 'Dsus', 'D7', 'Gm7', 'A7', 'Dm7', 'Fsus', 'Abm7', 'Bb7', 'Ebm7', 'Gbsus', 'Abm7', 'Bb7', 'Ebm7', 'Gbsus']","Richie, Beirach"
"Old Country, The",d,,,,,"['Dm', 'E%7', 'A7', 'Dm', 'Dm', 'D7', 'Gm7', 'Csus', 'C7', 'F^7', 'F^7', 'E%7', 'A7', 'Dm', 'Dm', 'B7', 'Bb7', 'E%7', 'A7', 'Dm']","Lewis, Curtis & Adderley, Cannonball"
One Finger Snap,E-,,,,,"['Csus', 'Csus', 'Csus', 'Csus', 'Ebsus', 'Ebsus', 'Ebsus', 'Ebsus', 'Absus', 'Absus', 'Absus', 'Absus', 'G%7', 'C7', 'F%7', 'Bb7', 'Eb^7', 'Eb^7', 'D%7', 'G7']","Hancock, Herbie"
"Preacher, The",F,,,,,"['F6', 'F6', 'Bb7', 'Bo7', 'C7', 'F6', 'F6', 'G7', 'C7', 'F6', 'F7', 'Bb6', 'A7', 'Bb^7', 'Bo7', 'C7', 'D7', 'Gm7', 'C7', 'F6']","Silver, Horace"
