composers	title	key	tempo	style	checked	in_progress	Notes	turnaround	marked_	chords
Rowles, Jimmy	502 Blues	a	100	Jazz-Medium Swing	TRUE	TRUE		0	|Am7|Db^7|B%7|E7|Am7|Db^7|B%7|E7|Cm7|F7|Bb^7|Abm7 Db7|F#%7|B7|E^7|E^7 E7|Am7|Db^7|B%7|E7|Am7|Db^7|B%7|E7|Cm7|F7|Bb^7|Abm7 Db7|F#%7|B7|Em7|Em7|	Am7, Db^7, B%7, E7, Am7, Db^7, B%7, E7, Cm7, F7, Bb^7, Abm7, Db7, F#%7, B7, E^7, E^7, E7, Am7, Db^7, B%7, E7, Am7, Db^7, B%7, E7, Cm7, F7, Bb^7, Abm7, Db7, F#%7, B7, Em7, Em7
Greene, Joe	Across The Valley From The Alamo	F	100	Jazz-Medium Swing	TRUE	TRUE		0	|F^7|F^7|F^7|F^7|C7|C7|Gm7 C7|F^7|F^7|F^7|F^7|F^7|C7|C7|Gm7 C7|F^7|Bb^7|F^7|Bb^7 Bbm7|F^7|A7|Dm7 G7|G7|C7|F^7|F^7|F^7|F^7|C7|C7|Gm7 C7|F^7|	F^7, F^7, F^7, F^7, C7, C7, Gm7, C7, F^7, F^7, F^7, F^7, F^7, C7, C7, Gm7, C7, F^7, Bb^7, F^7, Bb^7, Bbm7, F^7, A7, Dm7, G7, G7, C7, F^7, F^7, F^7, F^7, C7, C7, Gm7, C7, F^7
Santamaria, Mongo	Afro Blue	f	100	Jazz-Medium Up Swing	TRUE	TRUE		0	|Fm7|Gm7|Ab^7 Gm7|Fm7|Fm7|Gm7|Ab^7 Gm7|Fm7|Eb^|Eb^|Db^ Eb^|Fm7|Eb^|Eb^|Db^ Eb^|Fm7|	Fm7, Gm7, Ab^7, Gm7, Fm7, Fm7, Gm7, Ab^7, Gm7, Fm7, Eb^, Eb^, Db^, Eb^, Fm7, Eb^, Eb^, Db^, Eb^, Fm7
Marks, Gerald	All Of Me	C	100	Jazz-Medium Swing	TRUE	TRUE		3	|C^7|C^7|E7|E7|A7|A7|Dm7|Dm7|E7|E7|Am7|Am7|D7|D7|Dm7|G7|C^7|C^7|E7|E7|A7|A7|Dm7|Dm7|F^7|Fm6|Em7|A7|Dm7|G7|C6 Ebo7|Dm7 G7|	C^7, C^7, E7, E7, A7, A7, Dm7, Dm7, E7, E7, Am7, Am7, D7, D7, Dm7, G7, C^7, C^7, E7, E7, A7, A7, Dm7, Dm7, F^7, Fm6, Em7, A7, Dm7, G7, C6, Ebo7, Dm7, G7
Corea, Chick	Armando's Rhumba	c	180	Jazz-Latin	TRUE	TRUE		1	|Cm7|D7|G7|Cm7|Cm7|D7|G7|Cm7|C7|Fm7|D7|Gm7|Abo7|D7|Bbsus|Bbsus|Bbsus|Bbsus|Eb6&Eb6&Eb6&Eb6|G7|	Cm7, D7, G7, Cm7, Cm7, D7, G7, Cm7, C7, Fm7, D7, Gm7, Abo7, D7, Bbsus, Bbsus, Bbsus, Bbsus, Eb6, Eb6, Eb6, Eb6, G7
Kosma, Joseph	Autumn Leaves	g	100	Jazz-Medium Swing	TRUE	TRUE		0	|Cm7|F7|Bb^7|Eb^7|A%7|D7|Gm6|Gm6|Cm7|F7|Bb^7|Eb^7|A%7|D7|Gm6|Gm6|A%7|D7|Gm6|Gm6|Cm7|F7|Bb^7|Bb^7|A%7|D7|Gm7 Gb7|Fm7 E7|A%7|D7|Gm6|Gm6|	Cm7, F7, Bb^7, Eb^7, A%7, D7, Gm6, Gm6, Cm7, F7, Bb^7, Eb^7, A%7, D7, Gm6, Gm6, A%7, D7, Gm6, Gm6, Cm7, F7, Bb^7, Bb^7, A%7, D7, Gm7, Gb7, Fm7, E7, A%7, D7, Gm6, Gm6
Jolson, Al & DeSylva, Buddy & Rose, Vincent	Avalon	B-	240	Jazz-Up Tempo Swing	TRUE	TRUE		0	|Cm7|Cm7|F7|F7|Bb6|Bb6|Bb6|G7|Cm7|Cm7|F7|F7|Bb6|Bb6|Bb6|Bb6|Dm7|Dm7|G7|G7|Cm7|Cm7|Ebm7|Ab7|Bb6|Bb6|G7|G7|Cm7|F7|Bb6|Bb6|	Cm7, Cm7, F7, F7, Bb6, Bb6, Bb6, G7, Cm7, Cm7, F7, F7, Bb6, Bb6, Bb6, Bb6, Dm7, Dm7, G7, G7, Cm7, Cm7, Ebm7, Ab7, Bb6, Bb6, G7, G7, Cm7, F7, Bb6, Bb6
Shorter, Wayne	Backstage Sally	f	100	Jazz-Medium Swing	TRUE	TRUE		3	|Fm6 D7|G7 C7|Ebm7 Ab7|Cm7 F7|Bbm6 Ab7|G7 Gb7|Fm7 Bb7|Ebm7 Ab7|D7 G7|C7 F7|Bb7 Eb7|G%7 C7|Fm6 D7|G7 C7|Fm7 Ab7|Db^ Gb7|	Fm6, D7, G7, C7, Ebm7, Ab7, Cm7, F7, Bbm6, Ab7, G7, Gb7, Fm7, Bb7, Ebm7, Ab7, D7, G7, C7, F7, Bb7, Eb7, G%7, C7, Fm6, D7, G7, C7, Fm7, Ab7, Db^, Gb7
Parker, Charlie	Ballade	F	60	Jazz-Ballad Swing	TRUE	TRUE		0		Cm7, F7, Bb^7, Bbm7, Eb7, Ab^7, Dm7, G7, Dm7, Dm7, G7, Gm7, D7, Gm7, C7, F^7, Dm7, A7, D7, D7, G7, G%7, C7, F6, F6
Wright, Robert & Forrest, George	Baubles, Bangles And Beads	A-	100	Jazz-Medium Swing	TRUE	TRUE		0	|Bbm7|Eb7|Cm7|Fm7|Bbm7|Eb7|Ab^7|Ab^7|Dm7|G7|Em7|Am7|Dm7|G7|C^7|C^7|F#m7|B7|E^7|E^7|Bbm7|Eb7|Cm7|F7|Bbm7|Eb7|Cm7|F7|Bbm7|Eb7|Gb7|F7|Bbm7|Eb7|Ab^7|Ab^7|	Bbm7, Eb7, Cm7, Fm7, Bbm7, Eb7, Ab^7, Ab^7, Dm7, G7, Em7, Am7, Dm7, G7, C^7, C^7, F#m7, B7, E^7, E^7, Bbm7, Eb7, Cm7, F7, Bbm7, Eb7, Cm7, F7, Bbm7, Eb7, Gb7, F7, Bbm7, Eb7, Ab^7, Ab^7
Rivers, Sam	Beatrice	F	100	Jazz-Medium Swing	TRUE	TRUE		1	|F^7|Gb^7|F^7|Eb^7|Dm7|Eb^7|Dm7 Cm7|Bbm7|Am7|Bb^7|E%7 A7|Dm7|Gm7|Gb^7|Fm7|Gb^7|	F^7, Gb^7, F^7, Eb^7, Dm7, Eb^7, Dm7, Cm7, Bbm7, Am7, Bb^7, E%7, A7, Dm7, Gm7, Gb^7, Fm7, Gb^7
Kahn, Donald	Beautiful Friendship, A	A-	100	Jazz-Medium Swing	TRUE	TRUE		3	|C^7|Gb7|F^7|E%7 A7|Am7|D7|Dm7|G7|C^7|Gb7|F^7|E%7 A7|Am7|D7|Dm7|G7|Gm7|C7|F^7|Bb7|Em7|A7|D7|G7|C^7|Gb7|F^7|E%7 A7|Dm7|G7|C6 A7|D7 G7|	C^7, Gb7, F^7, E%7, A7, Am7, D7, Dm7, G7, C^7, Gb7, F^7, E%7, A7, Am7, D7, Dm7, G7, Gm7, C7, F^7, Bb7, Em7, A7, D7, G7, C^7, Gb7, F^7, E%7, A7, Dm7, G7, C6, A7, D7, G7
Young, Victor	Beautiful Love	d	100	Jazz-Medium Swing	TRUE	TRUE		0	|E%7|A7|Dm|Dm|Gm7|C7|F^7|E%7 A7|Dm|Gm7|Bb7|A7|Dm|G7|E%7|A7|E%7|A7|Dm|Dm|Gm7|C7|F^7|E%7 A7|Dm|Gm7|Bb7|A7|Dm B7|Bb7 A7|Dm|Dm|	E%7, A7, Dm, Dm, Gm7, C7, F^7, E%7, A7, Dm, Gm7, Bb7, A7, Dm, G7, E%7, A7, E%7, A7, Dm, Dm, Gm7, C7, F^7, E%7, A7, Dm, Gm7, Bb7, A7, Dm, B7, Bb7, A7, Dm, Dm
Monk, Thelonious	Bemsha Swing	C	100	Jazz-Medium Swing	TRUE	TRUE		2	|C^ A7|Ab7 Db7|C^ Eb7|D7 Db7|C^ A7|Ab7 Db7|C^ Ab7|Db7 Gb7|F^ D7|Db7 Gb7|F^ Ab7|G7 Db7|C^ A7|Ab7 Db7|C^ Db^7|Db^7|	C^, A7, Ab7, Db7, C^, Eb7, D7, Db7, C^, A7, Ab7, Db7, C^, Ab7, Db7, Gb7, F^, D7, Db7, Gb7, F^, Ab7, G7, Db7, C^, A7, Ab7, Db7, C^, Db^7, Db^7
DeSylva, B.G. & Brown, Lew & Henderson, Ray	Best Things In Life Are Free, The	C	160	Jazz-Medium Up Swing	TRUE	TRUE		0	|C6|C6|C^7|C^7|C6|C6 Ebo7|Dm7|G7|Dm7|Dm7|Dm7|Dm7|G7|Dm7 G7|C^7 C#o7|Dm7 G7|C7|C7|F^7|F^7|D7|D7|Dm7|G7|C6|C6|Em7|A7|Dm7|Dm7 G7|C6|C6|	C6, C6, C^7, C^7, C6, C6, Ebo7, Dm7, G7, Dm7, Dm7, Dm7, Dm7, G7, Dm7, G7, C^7, C#o7, Dm7, G7, C7, C7, F^7, F^7, D7, D7, Dm7, G7, C6, C6, Em7, A7, Dm7, Dm7, G7, C6, C6
Traditional	Bill Bailey	G	160	Jazz-Medium Up Swing	TRUE	TRUE		2	|G^|G^|G^|G^|G^|G^ Abo7|Am7|D7|D7|D7|D7|D7|D7|D7|G^|Am7 D7|G^|G^|G^|G^|Dm7|G7|C^|C^|C^|C#o7|G^|E7|A7|D7|G^|Am7 D7|	G^, G^, G^, G^, G^, G^, Abo7, Am7, D7, D7, D7, D7, D7, D7, D7, G^, Am7, D7, G^, G^, G^, G^, Dm7, G7, C^, C^, C^, C#o7, G^, E7, A7, D7, G^, Am7, D7
Gillespie, Dizzy	Birk's Works	f	240	Jazz-Up Tempo Swing	TRUE	TRUE		0	|Fm6|G%7 C7|Fm6|C%7 F7|Bbm7|Bbm7|Fm6|Fm6|Abm7 Db7|G%7 C7|Fm6|Fm6|	Fm6, G%7, C7, Fm6, C%7, F7, Bbm7, Bbm7, Fm6, Fm6, Abm7, Db7, G%7, C7, Fm6, Fm6
Dorham, Kenny	Blue Bossa	c	140	Jazz-Bossa Nova	TRUE	TRUE		2	|Cm7|Cm7|Fm7|Fm7|D%7|G7|Cm7|Cm7|Ebm7|Ab7|Db^7|Db^7|D%7|G7|Cm7|D%7 G7|	Cm7, Cm7, Fm7, Fm7, D%7, G7, Cm7, Cm7, Ebm7, Ab7, Db^7, Db^7, D%7, G7, Cm7, D%7, G7
Davis, Miles & Evans, Bill	Blue In Green	d	60	Jazz-Ballad Swing	TRUE	TRUE	Coda Review	0	|Gm6|A7|Dm7 Db7|Cm7 F7|Bb^7|A7|Dm6|E7|Am7|Dm7|Gm6|A7|Dm6|Dm6|	Gm6, A7, Dm7, Db7, Cm7, F7, Bb^7, A7, Dm6, E7, Am7, Dm7, Gm6, A7, Dm6, Dm6
Mills, Irving	Blue Lou	B-	100	Jazz-Medium Swing	TRUE	TRUE		0	|C%7|F7|C%7|F7|Bb^7|Eb^7|Cm7|F7|C%7|F7|C%7|F7|Bb^7|Eb^7|C7 F7|Bb^7|F^7|F#o7|Gm7|C7|F^7|F#o7|Gm7 C7|F7|C%7|F7|C%7|F7|Bb^7|Eb^7|C7 F7|Bb^7|	C%7, F7, C%7, F7, Bb^7, Eb^7, Cm7, F7, C%7, F7, C%7, F7, Bb^7, Eb^7, C7, F7, Bb^7, F^7, F#o7, Gm7, C7, F^7, F#o7, Gm7, C7, F7, C%7, F7, C%7, F7, Bb^7, Eb^7, C7, F7, Bb^7
Parker, Charlie	Blues For Alice	F	160	Jazz-Medium Up Swing	TRUE	TRUE		-1	|F^7|E%7 A7|Dm7 G7|Cm7 F7|Bb7|Bbm7 Eb7|Am7 D7|Abm7 Db7|Gm7|C7|F7 D7|Gm7 C7|	F^7, E%7, A7, Dm7, G7, Cm7, F7, Bb7, Bbm7, Eb7, Am7, D7, Abm7, Db7, Gm7, C7, F7, D7, Gm7, C7
Shaw, Woody	Blues For Wood	f	240	Jazz-up Tempo Swing	TRUE	TRUE	C7#9	NT	|Fm7|Fm7|Fm7|Fm7|Db7|Db7|Fm7|Fm7|Db7|Bb^7|G%7 C7|Fm7|	Fm7, Fm7, Fm7, Fm7, Db7, Db7, Fm7, Fm7, Db7, Bb^7, G%7, C7, Fm7
Thielemans, Toots	Bluesette	B-	100	Jazz-Medium Swing	TRUE	TRUE		-1	|Bb^7|Bb^7|A%7|D7|Gm7|C7|Fm7|Bb7|Eb^7|Eb^7|Ebm7|Ab7|Db^7|Db^7|C#m7|F#7|B^7|B^7|Cm7|F7|Dm7|G7|Cm7|F7|	Bb^7, Bb^7, A%7, D7, Gm7, C7, Fm7, Bb7, Eb^7, Eb^7, Ebm7, Ab7, Db^7, Db^7, C#m7, F#7, B^7, B^7, Cm7, F7, Dm7, G7, Cm7, F7
Monk, Thelonious	Boo Boo's Birthday	C	100	Jazz-Medium Swing	TRUE	TRUE		0	|C^7|B7|E7|E7|F7 E7|Eb7 D7|Db^7|Db7|C^7|B7|E7|E7|F7 E7|Eb7 D7|Db^7|Db7|Gm7|Db7 Gb7|F^7|C^7|F^7 C^7|	C^7, B7, E7, E7, F7, E7, Eb7, D7, Db^7, Db7, C^7, B7, E7, E7, F7, E7, Eb7, D7, Db^7, Db7, Gm7, Db7, Gb7, F^7, C^7, F^7, C^7
Little, Booker	Booker's Waltz	A-	100	Jazz-Medium Swing	TRUE	TRUE		2	|Ab^7|Eb7|G%7|C7|Fm7|Db7|Bb7|Db7|Ab^7|B7|Bbm7|Eb7|Ab^7|Ab^7|A7|A7|	Ab^7, Eb7, G%7, C7, Fm7, Db7, Bb7, Db7, Ab^7, B7, Bbm7, Eb7, Ab^7, Ab^7, A7, A7
