composers	title	key	tempo	style	checked	in_progress	Notes	turnaround	marked_	chords
Monk, Thelonious	Hackensack	F	100	Jazz-Medium Swing	TRUE	TRUE		1	|F6|Bb7|F6|Am7 D7|Gm7|C7|F6|C7|F6|Bb7|F6|Am7 D7|Gm7|C7|F6|F6|Bb7|Bo7|F6|Am7 D7|G7|G7|C7|Db7|F6|Bb7|F6|Am7 D7|Gm7|C7|F6|C7|	F6, Bb7, F6, Am7, D7, Gm7, C7, F6, C7, F6, Bb7, F6, Am7, D7, Gm7, C7, F6, F6, Bb7, Bo7, F6, Am7, D7, G7, G7, C7, Db7, F6, Bb7, F6, Am7, D7, Gm7, C7, F6, C7
Davis, Miles	Half Nelson	C	240	Jazz-Up Tempo Swing	TRUE	TRUE		3	|C^7|C^7|Fm7|Bb7|C^7|C^7|Bm7 E7|Bbm7 Eb7|Ab^7|Ab^7|Am7|D7|Dm7|G7|C^7 Eb^7|Ab^7 Db^7|	C^7, C^7, Fm7, Bb7, C^7, C^7, Bm7, E7, Bbm7, Eb7, Ab^7, Ab^7, Am7, D7, Dm7, G7, C^7, Eb^7, Ab^7, Db^7
Dameron, Tadd	Hot House	C	240	Jazz-Up Tempo Swing	TRUE	TRUE		0	|G%7|C7|Fm^7|Fm^7|D%7|G7|C^7|C^7|G%7|C7|Fm^7|Fm^7|D%7|G7|C^7|C^7|Cm7|F7|Bb^7|Bb^7|Ab7|Ab7|G7|G7|G%7|C7|Fm^7|Fm^7|D%7|G7|C^7|C^7|	G%7, C7, Fm^7, Fm^7, D%7, G7, C^7, C^7, G%7, C7, Fm^7, Fm^7, D%7, G7, C^7, C^7, Cm7, F7, Bb^7, Bb^7, Ab7, Ab7, G7, G7, G%7, C7, Fm^7, Fm^7, D%7, G7, C^7, C^7
Lewis, Morgan	How High The Moon	G	100	Jazz-Medium Swing	TRUE	TRUE		NT	|G^7|G^7|Gm7|C7|F^7|F^7|Fm7|Bb7|Eb^7|A%7 D7|Gm7|A%7 D7|G^7|Em7|Am7|D7|G^7|G^7|Gm7|C7|F^7|F^7|Fm7|Bb7|Eb^7|A%7 D7|G^7|Am7 D7|Bm7 E7|Am7 D7|G6|Am7 D7|	G^7, G^7, Gm7, C7, F^7, F^7, Fm7, Bb7, Eb^7, A%7, D7, Gm7, A%7, D7, G^7, Em7, Am7, D7, G^7, G^7, Gm7, C7, F^7, F^7, Fm7, Bb7, Eb^7, A%7, D7, G^7, Am7, D7, Bm7, E7, Am7, D7, G6, Am7, D7
Reinhardt, Django	Hungaria	G	160	Jazz-Up Medium Swing	TRUE	TRUE		0	|G6|G6|Ab6|Ab6|G6|G6|E7|E7|A7|A7|D7|D7|G^|Bbo7|Am7|D7|G6|G6|Ab6|Ab6|G6|G6|E7|E7|Am7|Cm6|G^|Bbo7|Am7|D7|G6|G6|	G6, G6, Ab6, Ab6, G6, G6, E7, E7, A7, A7, D7, D7, G^, Bbo7, Am7, D7, G6, G6, Ab6, Ab6, G6, G6, E7, E7, Am7, Cm6, G^, Bbo7, Am7, D7, G6, G6
McHugh, Jimmy	I Can't Believe...You're In Love...	C	100	Jazz-Medium Swing	TRUE	TRUE		2	|F6|Bb7|C^7|D7|G7|G7|C^7|Gm7 C7|F6|Bb7|C^7|D7|G7|G7|C6 F7|C6|E7|E7|A7|A7|D7|D7|G7|G7 C7|F6|Bb7|C^7|D7|G7|G7|C^7|Gm7 C7|	F6, Bb7, C^7, D7, G7, G7, C^7, Gm7, C7, F6, Bb7, C^7, D7, G7, G7, C6, F7, C6, E7, E7, A7, A7, D7, D7, G7, G7, C7, F6, Bb7, C^7, D7, G7, G7, C^7, Gm7, C7
Styne, Jule	I Fall In Love Too Easily	E-	60	Jazz-Ballad Swing	TRUE	TRUE		1	|Fm7 Bb7|Eb^7 Ab^7|D%7 G7|Cm A7|D%7 G7|Cm7 Cm7|A%7 D7|D%7 G7|A%7 D7|G7|G%7 C7|Fm7 C7|Fm7 Abm7&Db7|G7 C7|Fm7 Bb7|Eb6 C7|	Fm7, Bb7, Eb^7, Ab^7, D%7, G7, Cm, A7, D%7, G7, Cm7, Cm7, A%7, D7, D%7, G7, A%7, D7, G7, G%7, C7, Fm7, C7, Fm7, Abm7, Db7, G7, C7, Fm7, Bb7, Eb6, C7
Porter, Cole	I Love Paris	c	100	Jazz-Medium Swing	TRUE	TRUE		2	|Cm6|Cm6|Cm6|Cm6|Cm6|Cm6|D%7|G7|D%7|G7|D%7|G7|D%7|G7|Cm6|Cm6 G7|C6|C6|C6|C6|C6|Em7 Ebo7|Dm7|G7|F6|F6|Em7|A7|Dm7|G7|C6|D%7 G7|	Cm6, Cm6, Cm6, Cm6, Cm6, Cm6, D%7, G7, D%7, G7, D%7, G7, D%7, G7, Cm6, Cm6, G7, C6, C6, C6, C6, C6, Em7, Ebo7, Dm7, G7, F6, F6, Em7, A7, Dm7, G7, C6, D%7, G7
Porter, Cole	I Love You	F	160	Jazz-Medium Up Swing	TRUE	TRUE		0	|G%7|C7|F^7|F^7|Gm7|C7|F^7|F^7|G%7|C7|F^7|Bm7 E7|A^7|Bm7 E7|A^7|A^7|Gm7|C7|F^7|F^7|A%7|D7|Gm7|C7|G%7|C7|F^7|A%7 D7|G7|C7|F6|F6|	G%7, C7, F^7, F^7, Gm7, C7, F^7, F^7, G%7, C7, F^7, Bm7, E7, A^7, Bm7, E7, A^7, A^7, Gm7, C7, F^7, F^7, A%7, D7, Gm7, C7, G%7, C7, F^7, A%7, D7, G7, C7, F6, F6
Taylor, Billy	I Wish I Knew How It Would Feel To Be Free	F	60	Jazz-Ballad Even	TRUE	TRUE		0	|F^ A7|Dm Cm7|Bb^ Csus|F^|F^ Bb^&F^|F^ C^&F^|C^ G7|C7|F^ A7|Dm Cm7|Bb^ Csus|F^ Bo7|F^ C#o7|Dm Bo7|F^ Csus|F^|	F^, A7, Dm, Cm7, Bb^, Csus, F^, F^, Bb^, F^, F^, C^, F^, C^, G7, C7, F^, A7, Dm, Cm7, Bb^, Csus, F^, Bo7, F^, C#o7, Dm, Bo7, F^, Csus, F^
